Country,Code,Year,GDP,Growth,CPI,Imports,Exports,Population
United States,USA,2016-01-01,18624475000000,1.48527919319147,110.06700893427,14.6892999668447,11.8906224202293,323405935
United States,USA,2017-01-01,19390604000000,2.27333854830167,112.411557302308,NA,NA,325719178
China,CHN,1961-01-01,50056868957.6732,-27.2700000039461,NA,3.48941004625497,3.87081067921772,660330000
China,CHN,1962-01-01,47209359005.6056,-5.579999990136,NA,2.9082774049217,4.05265875064533,665770000
China,CHN,1963-01-01,50706799902.5103,10.2999999952758,NA,2.85988944965153,4.00544740847553,682335000
China,CHN,1964-01-01,59708343488.5043,18.179999994202,NA,2.86414041771549,3.76896387509354,698355000
China,CHN,1965-01-01,70436266146.7219,16.950000002496,NA,3.18915801614764,3.63898500576701,715185000
China,CHN,1966-01-01,76720285969.6157,10.6500000041736,NA,3.23502938529147,3.4944670937682,735400000
China,CHN,1967-01-01,72881631326.6715,-5.77000000422507,NA,2.97625682755546,3.27722661910601,754550000
China,CHN,1968-01-01,70846535055.6503,-4.09999999214143,NA,2.91841064159165,3.3025629264377,774510000
China,CHN,1969-01-01,79705906247.4612,16.9399999961092,NA,2.40546325552951,3.04759963306493,796025000
China,CHN,1970-01-01,92602973434.0726,19.299999996256,NA,2.46085011185682,2.49155590647892,818315000
China,CHN,1971-01-01,99800958648.1436,7.0600000033518,NA,2.13276893646465,2.78806626236314,841105000
China,CHN,1972-01-01,113687586299.051,3.80999999825444,NA,2.5074439742987,3.24792352295878,862030000
China,CHN,1973-01-01,138544284708.957,7.7600000016445,NA,3.75879834554822,4.24134678180103,881940000
China,CHN,1974-01-01,144182133387.722,2.31000000049113,NA,5.4036849736535,4.92980160554514,900350000
China,CHN,1975-01-01,163431551779.761,8.72000000047512,NA,4.8494818226682,4.70472117124527,916395000
China,CHN,1976-01-01,153940455341.506,-1.57000000275067,NA,4.32644047380044,4.51047313123201,930685000
China,CHN,1977-01-01,174938098826.569,7.56999999917167,NA,4.08615384615385,4.29846153846154,943455000
China,CHN,1978-01-01,149540752829.268,11.6666440032893,NA,5.09418739355899,4.55595414706769,956165000
China,CHN,1979-01-01,178280594413.043,7.60000000000034,NA,5.92373477325849,5.16284335734386,969005000
China,CHN,1980-01-01,191149211575,7.80669144981401,NA,6.51323638607585,5.91161214157888,981235000
